City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
victoria,HK,94.96,76,99,5.99,22.2855,114.1577,1627439586
mwinilunga,ZM,49.14,56,100,4.59,-11.7358,24.4293,1627439677
domoni,KM,74.37,72,10,12.48,-12.2569,44.5319,1627439677
hualmay,PE,63.84,86,43,11.23,-11.0964,-77.6139,1627439678
fuerte olimpo,PY,59.81,32,100,8.63,-21.0415,-57.8738,1627439678
salalah,OM,77.09,100,90,9.22,17.0151,54.0924,1627439678
san andres,CO,82.42,83,75,6.91,12.5847,-81.7006,1627439679
cabra,ES,75.9,53,0,3.06,37.4725,-4.4421,1627439679
sola,VU,78.91,80,39,21.79,-13.8833,167.55,1627439601
lazaro cardenas,MX,80.92,82,94,1.3,17.9583,-102.2,1627439679
canete,CL,40.39,84,0,5.73,-37.8,-73.4,1627439679
rabo de peixe,PT,67.51,83,40,9.22,37.8,-25.5833,1627439680
chuy,UY,43.18,73,49,16.15,-33.6971,-53.4616,1627439680
buluang,PH,86.11,74,87,15.39,13.3068,123.3425,1627439680
nogliki,RU,68.02,90,100,3.98,51.8333,143.1667,1627439681
bolitoc,PH,82.6,86,99,15.5,15.7395,119.8769,1627439681
vilyuysk,RU,75.42,35,25,8.1,63.7553,121.6247,1627439681
palmas de monte alto,BR,69.31,43,89,4.45,-14.2672,-43.1619,1627439681
kisaran,ID,85.73,66,86,3.22,2.9845,99.6158,1627439682
jitra,MY,85.91,79,20,5.99,6.2681,100.4217,1627439682
mnogovershinnyy,RU,77.38,47,100,0.98,53.9353,139.9242,1627439682
palmer,US,67.48,85,75,0.0,42.1584,-72.3287,1627439623
banda aceh,ID,85.78,66,75,12.66,5.5577,95.3222,1627439463
bengkulu,ID,82.89,63,66,4.32,-3.8004,102.2655,1627439683
port hardy,CA,64.58,68,40,10.36,50.6996,-127.4199,1627439407
chulucanas,PE,71.91,74,89,7.18,-5.0925,-80.1625,1627439683
mvuma,ZW,42.37,93,0,4.5,-19.2792,30.5283,1627439683
bulgan,MN,64.65,74,89,3.31,48.8125,103.5347,1627439684
martapura,ID,84.29,74,0,6.91,-3.4167,114.85,1627439684
harper,LR,76.17,75,100,7.43,4.375,-7.7169,1627439684
butaritari,KI,81.66,72,100,4.5,3.0707,172.7902,1627439685
pochutla,MX,79.83,91,96,3.69,15.7432,-96.4661,1627439685
marapanim,BR,74.19,94,69,3.27,-0.7175,-47.6997,1627439685
krasnozerskoye,RU,65.1,51,92,6.08,53.9828,79.2374,1627439686
kerema,PG,82.33,78,97,10.94,-7.9631,145.7785,1627439686
vardo,NO,46.6,86,97,13.94,70.3705,31.1107,1627439686
nizwa,OM,91.09,42,88,5.79,22.9333,57.5333,1627439686
new amsterdam,GY,75.99,90,7,4.12,6.25,-57.5167,1627439687
giyani,ZA,52.03,61,0,5.12,-23.3025,30.7187,1627439687
marsaxlokk,MT,79.09,53,0,4.61,35.8419,14.5431,1627439687
claresholm,CA,77.02,46,45,3.44,50.0333,-113.5852,1627439523
cukai,MY,87.75,60,83,7.96,4.25,103.4167,1627439688
ust-kulom,RU,44.67,93,93,7.7,61.6864,53.6902,1627439688
vasilyevskiy mokh,RU,62.17,74,66,3.27,57.0132,35.919,1627439688
urucara,BR,79.36,57,52,1.7,-2.5364,-57.76,1627439688
amga,RU,75.85,37,8,8.05,60.8953,131.9608,1627439689
valdosta,US,77.14,93,75,3.44,30.8327,-83.2785,1627439595
ndele,CF,66.76,99,97,3.53,8.4109,20.6473,1627439689
general pico,AR,38.55,55,14,12.73,-35.6566,-63.7568,1627439689
yongan,CN,78.89,54,98,3.53,39.6957,113.6871,1627439690
tautira,PF,80.01,70,78,8.19,-17.7333,-149.15,1627439690
tabory,RU,53.02,63,71,7.07,58.5198,64.5495,1627439690
ozinki,RU,68.52,57,8,10.45,51.1786,49.6769,1627439691
bethanien,NA,51.78,47,0,3.42,-26.502,17.1583,1627439691
maneromango,TZ,60.67,98,7,3.31,-7.1988,38.7848,1627439691
puerto carreno,CO,75.72,91,100,4.43,6.189,-67.4859,1627439600
ponnani,IN,76.32,84,98,0.87,10.767,75.9252,1627439692
murupara,NZ,59.29,57,5,5.82,-38.4667,176.7,1627439692
nanortalik,GL,43.97,84,100,3.96,60.1432,-45.2371,1627439692
moose factory,CA,59.0,77,1,6.91,51.2585,-80.6094,1627439692
derzhavinsk,KZ,68.47,34,6,10.96,51.1,66.3167,1627439693
eyl,SO,78.57,58,100,20.56,7.9803,49.8164,1627439693
san jeronimo,PE,47.05,73,68,3.11,-11.9472,-75.2829,1627439693
tomiya,JP,81.79,93,100,3.98,38.3931,140.8861,1627439694
bentiu,SS,69.33,97,86,4.09,9.2333,29.8333,1627439694
marica,BR,76.91,55,1,5.73,-22.9194,-42.8186,1627439694
misratah,LY,78.33,68,0,8.66,32.3754,15.0925,1627439695
sibolga,ID,84.42,67,59,3.0,1.7427,98.7792,1627439695
kralendijk,BQ,80.58,78,6,8.05,12.15,-68.2667,1627439695
bardiyah,LY,77.27,66,0,8.19,31.7561,25.0865,1627439695
katsuura,JP,86.04,76,100,19.1,35.1333,140.3,1627439696
abalak,RU,53.08,90,76,2.37,58.1286,68.5944,1627439696
sokoni,TZ,75.85,76,0,17.29,-6.4333,39.55,1627439696
paoua,CF,66.56,94,100,1.83,7.2427,16.4406,1627439697
balaguer,ES,73.15,83,51,5.5,41.7912,0.8109,1627439697
bahir dar,ET,59.41,96,100,2.68,11.5936,37.3908,1627439697
ostrovnoy,RU,48.52,89,100,10.25,68.0531,39.5131,1627439697
zverinogolovskoye,RU,58.42,79,90,6.91,54.4586,64.8542,1627439698
takaungu,KE,72.09,84,53,16.64,-3.6837,39.8566,1627439698
inta,RU,43.29,97,100,3.76,66.0317,60.1659,1627439698
port augusta,AU,62.74,41,15,19.44,-32.5,137.7667,1627439699
meadow lake,US,74.68,58,98,10.58,34.8014,-106.5436,1627439699
chokwe,MZ,55.92,85,0,4.43,-24.5333,32.9833,1627439699
labuhan,ID,84.78,58,5,4.05,-6.8844,112.2051,1627439699
margate,GB,63.3,87,100,4.0,51.3813,1.3862,1627439700
batagay-alyta,RU,53.83,47,30,14.97,67.8006,130.4114,1627439700
kalmunai,LK,85.19,62,100,2.39,7.4167,81.8167,1627439700
olafsvik,IS,50.97,89,97,14.14,64.8945,-23.7142,1627439701
semey,KZ,62.82,51,0,4.47,50.4111,80.2275,1627439701
palana,RU,49.15,91,98,7.7,59.1167,159.9667,1627439701
medvedok,RU,54.73,62,24,7.29,57.3891,50.0351,1627439701
imbituba,BR,55.29,67,24,15.9,-28.24,-48.6703,1627439653
araouane,ML,90.77,42,42,16.96,18.9048,-3.5265,1627439702
sur,OM,98.01,39,100,23.82,22.5667,59.5289,1627439702
poum,NC,72.55,59,5,14.52,-20.2333,164.0167,1627439703
portland,US,88.38,41,40,1.99,45.5234,-122.6762,1627439359
shaunavon,CA,82.18,27,89,9.44,49.6501,-108.4181,1627439479
rovaniemi,FI,62.01,72,0,8.05,66.5,25.7167,1627439703
lazurne,UA,66.65,65,3,4.92,46.084,32.5295,1627439703
severo-kurilsk,RU,59.94,88,100,6.98,50.6789,156.125,1627439704
prainha,BR,75.63,73,0,3.27,-1.8,-53.48,1627439704
tessalit,ML,85.42,46,67,10.18,20.1986,1.0114,1627439704
peniche,PT,66.72,90,0,18.81,39.3558,-9.3811,1627439602
zhuzhou,CN,89.73,52,29,9.48,27.8333,113.15,1627439705
west wendover,US,90.61,25,1,10.36,40.7391,-114.0733,1627439705
codrington,AU,50.61,81,94,23.96,-38.2667,141.9667,1627439705
dingzhou,CN,78.91,80,100,8.16,38.5131,114.9956,1627439706
shimoda,JP,86.36,71,94,11.95,34.6667,138.95,1627439598
benemerito de las americas,MX,72.93,98,47,3.31,16.5167,-90.6439,1627439706
atar,MR,86.11,31,18,3.53,20.5169,-13.0499,1627439624
tommot,RU,75.61,44,7,4.68,58.9564,126.2925,1627439706
gujan-mestras,FR,61.27,94,75,0.0,44.6333,-1.0667,1627439707
bagdarin,RU,69.3,60,92,1.25,54.4333,113.6,1627439707
isangel,VU,74.55,57,2,14.52,-19.55,169.2667,1627439707
tromso,NO,48.85,93,90,8.05,69.6496,18.957,1627439680
guatire,VE,75.7,98,40,1.88,10.4762,-66.5427,1627439708
magadi,IN,75.45,80,100,14.99,12.9667,77.2333,1627439708
oktyabrskiy,RU,57.78,65,9,5.68,54.4815,53.471,1627439708
the pas,CA,73.42,73,75,4.41,53.8251,-101.2541,1627439708
iasmos,GR,77.5,59,0,5.08,41.1333,25.1833,1627439709
dahuk,IQ,85.64,21,0,3.31,36.8695,42.994,1627439709
praia,CV,77.54,78,75,9.22,14.9215,-23.5087,1627439412
maragogi,BR,73.49,88,4,6.64,-9.0122,-35.2225,1627439709
songea,TZ,48.06,80,4,2.01,-10.6833,35.65,1627439710
trinidad,BO,64.22,34,55,10.11,-14.8333,-64.9,1627439710
otane,NZ,59.02,55,2,5.59,-39.8833,176.6333,1627439710
dingle,PH,87.33,65,76,17.45,10.9995,122.6711,1627439711
poya,NC,74.8,48,0,5.41,-21.35,165.15,1627439711
inhambane,MZ,64.2,65,0,5.86,-23.865,35.3833,1627439711
mendi,PG,61.63,90,92,2.13,-6.1761,143.6513,1627439711
caohai,CN,68.97,69,59,4.85,26.8661,104.2841,1627439712
port arthur,CN,86.22,69,98,2.46,38.8,121.2667,1627439712
hay river,CA,62.58,59,75,2.3,60.8156,-115.7999,1627439492
ust-omchug,RU,50.76,64,99,8.12,61.15,149.6333,1627439713
requena,ES,66.13,73,0,2.15,39.4883,-1.1004,1627439713
makakilo city,US,82.72,60,1,13.8,21.3469,-158.0858,1627439600
nyandoma,RU,51.69,62,40,1.43,61.669,40.1991,1627439713
nelson bay,AU,76.1,47,84,1.01,-32.7167,152.15,1627439714
wufeng,CN,69.67,70,47,4.9,27.45,104.8333,1627439714
forbes,AU,57.92,61,100,16.49,-33.3833,148.0167,1627439714
tuatapere,NZ,51.82,65,54,0.92,-46.1333,167.6833,1627439715
alice springs,AU,74.21,21,90,11.99,-23.7,133.8833,1627439702
tezontepec,MX,67.05,85,69,6.71,19.8833,-98.8167,1627439715
moita bonita,BR,74.37,96,0,3.76,-10.5775,-37.3428,1627439715
bangkalan,ID,87.75,63,6,1.63,-7.0455,112.7351,1627439715
iquique,CL,59.04,74,22,4.03,-20.2208,-70.1431,1627439716
ontario,US,94.87,43,20,1.99,34.0633,-117.6509,1627439716
nhulunbuy,AU,83.01,65,40,12.66,-12.2333,136.7667,1627439716
hylkje,NO,65.03,96,100,1.99,60.5103,5.3544,1627439717
sambava,MG,65.84,84,4,10.16,-14.2667,50.1667,1627439717
cockburn town,TC,81.61,78,16,18.81,21.4612,-71.1419,1627439527
namatanai,PG,84.83,67,25,4.99,-3.6667,152.4333,1627439717
talaya,RU,50.59,57,100,12.66,61.3833,152.75,1627439717
sjovegan,NO,52.03,88,2,2.1,68.8726,17.8474,1627439718
havre-saint-pierre,CA,55.76,100,40,5.75,50.2334,-63.5986,1627439718
nabire,ID,87.55,62,90,4.63,-3.3667,135.4833,1627439623
coahuayana,MX,78.55,92,100,1.48,18.7333,-103.6833,1627439603
san carlos de bariloche,AR,37.44,46,0,8.05,-41.1456,-71.3082,1627439435
oranjemund,NA,52.61,82,0,5.3,-28.55,16.4333,1627439655
kutum,SD,68.67,81,100,6.73,14.2,24.6667,1627439719
veseloyarsk,RU,67.69,39,3,4.38,51.2836,81.1056,1627439719
pisco,PE,62.65,82,0,14.97,-13.7,-76.2167,1627439719
siavonga,ZM,55.42,57,1,2.91,-16.5382,28.7088,1627439720
nagaur,IN,82.02,76,100,19.26,27.2,73.7333,1627439720
salou,ES,75.29,78,0,1.99,41.0766,1.1416,1627439720
almeirim,BR,76.87,71,61,3.98,-1.5233,-52.5817,1627439720
hobbs,US,88.66,35,28,1.99,32.7026,-103.136,1627439721
muros,ES,64.99,83,17,8.48,42.7762,-9.0603,1627439721
teguise,ES,68.22,78,90,14.97,29.0605,-13.564,1627439721
altay,CN,72.52,41,0,7.18,47.8667,88.1167,1627439722
tres lagoas,BR,58.84,57,47,11.65,-20.7511,-51.6783,1627439722
russkaya polyana,UA,68.38,58,46,8.1,49.417,31.9201,1627439722
birao,CF,69.66,96,100,5.5,10.2849,22.7882,1627439722
udachnyy,RU,85.46,39,54,8.03,66.4167,112.4,1627439723
lafayette,US,77.05,91,1,0.0,30.2335,-92.0668,1627439723
yanam,IN,84.6,59,100,12.82,16.7333,82.2167,1627439723
saint-joseph,RE,64.78,85,59,14.09,-21.3667,55.6167,1627439724
saint-augustin,CA,60.49,98,100,6.73,51.226,-58.6502,1627439724
alofi,NU,73.29,94,75,6.91,-19.0595,-169.9187,1627439724
angoche,MZ,66.15,85,19,6.17,-16.2325,39.9086,1627439725
la asuncion,VE,80.33,89,18,9.22,11.0333,-63.8628,1627439696
rogozno,PL,68.99,72,33,5.41,52.7523,16.9905,1627439725
elizabeth city,US,82.45,90,1,5.75,36.2946,-76.2511,1627439725
almendralejo,ES,68.27,60,0,4.0,38.6832,-6.4075,1627439725
huambo,AO,49.14,34,23,0.56,-12.7761,15.7392,1627439726
pringsewu,ID,86.2,51,53,2.28,-5.3582,104.9744,1627439726
kondinskoye,RU,53.6,62,69,5.12,59.6481,67.41,1627439726
doha,QA,93.51,80,99,2.3,25.2867,51.5333,1627439727
nemuro,JP,86.43,88,24,10.13,43.3236,145.575,1627439727
tazovskiy,RU,46.47,78,97,6.62,67.4667,78.7,1627439727
aklavik,CA,63.43,66,99,5.53,68.2191,-135.0107,1627439728
nanton,CA,75.25,41,89,8.9,50.3501,-113.7687,1627439728
havelock,US,82.94,91,69,5.79,34.8791,-76.9013,1627439728
corning,US,68.88,96,20,0.0,42.1428,-77.0547,1627439728
medina del campo,ES,59.72,83,0,7.18,41.3124,-4.9141,1627439729
andra,RU,49.89,65,38,6.22,62.5147,65.8878,1627439729
khabary,RU,62.92,54,100,3.6,53.6259,79.5345,1627439729
arys,KZ,84.42,18,0,16.46,42.4252,68.795,1627439730
carrboro,US,81.72,88,84,3.87,35.9101,-79.0753,1627439730
mehamn,NO,47.3,84,97,4.12,71.0357,27.8492,1627439730
saint augustine,US,79.25,96,40,5.75,29.8947,-81.3145,1627439730
khasan,RU,82.51,67,44,6.93,42.4308,130.6434,1627439731
puerto escondido,MX,77.83,73,90,5.75,15.85,-97.0667,1627439731
jaciara,BR,65.46,72,4,7.58,-15.9653,-54.9683,1627439731
petatlan,MX,89.4,91,94,2.93,17.5167,-101.2667,1627439732
emba,KZ,72.09,32,100,12.19,48.8264,58.1442,1627439732
santa maria da boa vista,BR,73.08,71,4,11.74,-8.8078,-39.8256,1627439732
taoudenni,ML,97.29,12,58,8.41,22.6783,-3.9836,1627439732
honiara,SB,84.33,73,94,8.84,-9.4333,159.95,1627439733
les cayes,HT,79.38,87,69,1.86,18.2,-73.75,1627439733
santa marta,CO,78.85,93,75,5.75,11.2408,-74.199,1627439733
union,US,80.91,60,1,8.05,40.6334,-74.2663,1627439734
takoradi,GH,74.64,86,98,8.86,4.8845,-1.7554,1627439734
rezina,MD,69.53,69,5,5.82,47.7492,28.9622,1627439734
klaksvik,FO,50.92,96,99,4.61,62.2266,-6.589,1627439734
bud,US,77.99,84,0,0.47,39.447,-86.1758,1627439735
gandai,IN,75.72,86,100,10.94,21.6667,81.1,1627439735
dzaoudzi,YT,76.89,69,75,17.27,-12.7887,45.2699,1627439735
nador,MA,73.65,88,40,3.44,35.174,-2.9287,1627439736
vaitape,PF,77.79,75,60,8.34,-16.5167,-151.75,1627439736
panacan,PH,87.12,67,97,17.72,9.2463,118.4082,1627439736
sechura,PE,69.08,79,61,13.4,-5.5569,-80.8222,1627439736
santa fe,AR,47.01,46,86,5.99,-31.6333,-60.7,1627439737
pacasmayo,PE,66.33,86,84,12.75,-7.4006,-79.5714,1627439737
tigil,RU,60.89,74,100,3.85,57.8,158.6667,1627439737
gazanjyk,TM,91.08,17,30,6.73,39.2446,55.5154,1627439737
mormugao,IN,78.06,100,75,6.91,15.4,73.8,1627439738
kiunga,PG,76.95,90,100,2.01,-6.1219,141.2906,1627439738
miranpur,IN,78.17,94,100,6.24,29.3,77.9333,1627439738
sinop,TR,62.26,91,0,3.58,41.7711,34.8709,1627439739
khammam,IN,81.25,69,100,15.05,17.25,80.15,1627439739
bemidji,US,74.97,74,1,4.61,47.4736,-94.8803,1627439739
peace river,CA,71.91,52,75,11.5,56.2501,-117.286,1627439739
lixourion,GR,79.07,59,0,5.91,38.2019,20.4314,1627439740
aasiaat,GL,40.93,84,100,6.38,68.7098,-52.8699,1627439740
kitami,JP,92.66,44,6,10.96,43.8031,143.8908,1627439740
baykit,RU,71.94,73,100,4.88,61.67,96.37,1627439534
khani,GE,60.37,93,96,2.42,41.9563,42.9566,1627439574
macherla,IN,82.89,62,96,20.15,16.4833,79.4333,1627439741
jibuti,DJ,87.22,58,74,4.45,11.5,42.5,1627439741
naduvattam,IN,59.41,83,100,5.64,11.4833,76.5667,1627439741
vanimo,PG,84.04,78,37,6.64,-2.6741,141.3028,1627439742
waddan,LY,74.64,58,0,2.37,29.1614,16.139,1627439742
covington,US,78.21,80,1,0.0,39.0837,-84.5086,1627439646
oakdale,US,86.36,78,1,4.61,44.963,-92.9649,1627439742
black river,JM,80.6,84,100,3.8,18.0264,-77.8487,1627439743
touros,BR,74.3,89,13,10.78,-5.1989,-35.4608,1627439743
oda,JP,84.97,65,34,8.32,35.1833,132.5,1627439743
de aar,ZA,41.79,54,6,6.08,-30.6497,24.0123,1627439743
marzuq,YE,73.38,78,8,7.72,14.4,46.4667,1627439744
sobolevo,RU,62.71,97,100,7.74,54.4299,31.8996,1627439744
gizo,SB,83.68,71,92,6.69,-8.103,156.8419,1627439744
raga,SS,69.03,97,99,4.09,8.4596,25.678,1627439745
pyatigorskiy,RU,58.87,90,100,1.41,43.9742,43.2583,1627439745
oshnaviyeh,IR,64.65,39,0,3.4,37.0397,45.0983,1627439745
puga,MX,72.37,98,93,2.98,21.5833,-104.8167,1627439746
bay roberts,CA,67.75,98,100,5.01,47.5999,-53.2648,1627439746
kelvington,CA,82.06,51,75,11.9,52.1667,-103.5343,1627439746
moron,AR,46.99,71,82,8.99,-34.6534,-58.6198,1627439746
costa rica,BR,50.16,39,84,11.25,-23.4167,-54.65,1627439537
madang,PG,85.19,67,65,5.37,-5.2246,145.7966,1627439747
friesoythe,DE,62.11,95,82,9.42,53.0167,7.85,1627439747
jaleswar,NP,87.12,71,92,7.81,26.6471,85.8008,1627439747
eenhana,NA,49.75,41,0,7.99,-17.4667,16.3333,1627439748
myitkyina,MM,78.91,94,100,1.77,25.3833,97.4,1627439748
mollendo,PE,59.38,85,85,7.72,-17.0231,-72.0147,1627439748
esperance,AU,55.24,52,3,18.57,-33.8667,121.9,1627439748
nantucket,US,73.54,85,18,13.67,41.2835,-70.0995,1627439656
manubul,PH,84.18,79,63,17.0,5.4732,120.7986,1627439749
charleston,US,84.02,91,75,3.0,32.7766,-79.9309,1627439749
catio,GW,77.47,89,100,5.01,11.2833,-15.25,1627439749
fukue,JP,86.36,70,20,6.91,32.6881,128.8419,1627439750
bolshaya sosnova,RU,52.27,71,95,12.62,57.6713,54.6029,1627439750
arica,CL,59.23,82,90,5.75,-18.475,-70.3042,1627439750
ukiah,US,91.29,22,1,8.05,39.1502,-123.2078,1627439751
lubumbashi,CD,50.05,58,100,4.74,-11.6609,27.4794,1627439751
vila franca do campo,PT,68.41,89,11,7.43,37.7167,-25.4333,1627439751
miri,MY,86.14,79,40,6.91,4.4148,114.0089,1627439751
karratha,AU,76.75,49,8,6.44,-20.7377,116.8463,1627439752
madzhalis,RU,67.05,80,97,3.87,42.1217,47.8333,1627439752
mayumba,GA,72.7,88,99,2.66,-3.432,10.6554,1627439696
constitucion,CL,44.65,78,0,7.23,-35.3333,-72.4167,1627439752
yingcheng,CN,84.25,73,62,18.54,30.95,113.55,1627439753
edson,CA,73.54,43,1,5.75,53.5835,-116.4356,1627439511
coquimbo,CL,49.73,93,0,4.61,-29.9533,-71.3436,1627439596
turayf,SA,73.65,46,0,6.91,31.6725,38.6637,1627439753
